Make,Title_URL,Sale_Type,Price,Model,Additional_Comments,Year,Car_Type,Mileage,Engine_Size,Engine_Type,Transmission,Dealership_Location,Prior_Owners,Information/Detail,Predicted_Price,Price_Diff_Percent
Aston Martin DB7,https://www.autotrader.co.uk/car-details/202212132487581?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=46&postcode=wr117jh&fromsra,Unknown,35950,5.9 Vantage 2dr,"FSH, timeless spec",2003,Coupe,41550.0,5.9L,420BHP,Automatic,Dealer locationBeamish,3.0,"Unveiled to the world at the 1999 Geneva Motor Show, the upgraded Vantage spec DB7 represented the finest quality in hand-built luxury sports cars. This 2003 model, finished in Tungsten Silver metallic over Ivory leather, has had only three owners from new and has covered 41,550 miles. The 6.0…",48341.90114061918,34.46982236611733
Aston Martin DB7,https://www.autotrader.co.uk/car-details/202309202174946?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=67&postcode=wr117jh&fromsra,Unknown,39950,3.2 2dr,RARE i6 - JUST 17K MILES!,1999,Coupe,17000.0,3.2L,335BHP,Automatic,Dealer locationEdinburgh,,"A superb and rare example of the i6, which must surely be one of the lowest mileage cars in existence. Previously supplied by myself in 2016 at 14k miles. Finished in Solent Silver. Due in soon. Please enquire. (Registration excluded) May P/X , Silver, £39,950",48893.220505698555,22.386033806504518
Aston Martin DB7,https://www.autotrader.co.uk/car-details/202207308291549?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=58&postcode=wr117jh&fromsra,Private seller,37950,5.9 Volante 2dr,"AMOC owner, always garaged",2002,Convertible,27225.0,5.9L,420BHP,Automatic,Unknown,3.0,"First registered: 8th November 2002 to HWM Motors Ltd (oldest Aston Martin dealer), as a demonstrator, Second owner 22nd January, 2003, Third owner 20th, May 2004, Current owner 14th July 2006. Service History: PDI  01/01/2003  0 mile  HWM Motors Ltd; 1000 mile service  13/01/2003  819 miles  HWM…",49742.66050569856,31.07420423108974
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202309182090411?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=26&postcode=wr117jh&fromsra,Unknown,54995,6.0 V12 T-TronicII Euro 5 2dr,"Rear Cam, Red Calipers, Nav",2013,Coupe,26300.0,6.0L,510BHP,Automatic,Dealer locationBarnstable,5.0,"Full Aston Martin Service History, Last Serviced By Aston Martin Bristol. Next Service Due Now. This Can Be Done Again By Aston Martin Bristol At Our Cost. Rear Camera, Front & Rear Parking Sensors, Red Brake Calipers, Bluetooth, Sat Nav, LED Taillights, Bi-Xenon Headlights, Cruise Control…",68890.6463324453,25.267108523402687
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202401085359997?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=78&postcode=wr117jh&fromsra,Unknown,61990,6.0 V12 Volante T-TronicII Euro 5 2dr,Tungsten Silver+ Premium Audio,2013,Convertible,31000.0,5.9L,510BHP,Automatic,Dealer locationBristol,6.0,"Aston Martin Bristol would like to present to you this timeless DB9 finished in Tungsten Silver alongside an Obsidian Black leather interior with a Galena Silver stitch. Key features worth noting on the DB9 include AM Premium Audio, Black Painted Brake Calipers, Piano Black Interior Trims…",68890.6463324453,11.131870192684799
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202401195717503?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=21&postcode=wr117jh&fromsra,Finance available,39000,6.0 V12 Luxury Edition T-TronicII Euro 5 2dr,AS NEW THOUGH OUT,2012,Coupe,47000.0,6.0L,477PS,Automatic,Dealer locationCanterbury,2.0,"A OPPORTUNITY TO PURCHASE A RARE ASTON MARTIN DB9 BLACK CARBON EDITION WHICH I CAN ONLY DESCRIBE AS NEW THOUGH OUT, HAS COVERED 47,000 MILES FROM NEW AND HAS 13 ASTON MARTIN MAIN AGENT SERVICE IN THE ENTRY SERVICING BOOK PLUS SERVICE BILLS INCLUDED, IS A VERY LOW OWNERSHIP AND THE LAST GENTLEMAN…",48893.220505698555,25.36723206589373
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202311184084734?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=30&postcode=wr117jh&fromsra,Unknown,36995,5.9 Volante Seq 2dr (EU4),"19"" ALLOYS, FSH, S/NAV, H/LEAT",2006,Convertible,28878.0,5.9L,451BHP,Automatic,Dealer locationDukinfield,,"The Aston Martin DB9 in Onyx Black Presents a Gentleman's Luxury Soft Top Sports Car with a Symphony of Sound from its 5.9 V12 Engine and a Sense of Magnificence Even at Some 17 Years Old. The DB9 is Like a Fine Wine, One Which gets Better with Age, and if Cared for to the Extent this one has Will…",48893.220505698555,32.16169889363037
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202401115459302?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=45&postcode=wr117jh&fromsra,Unknown,40995,5.9 Volante Seq 2dr (EU4),"JUST 19,000 MILES!! WOW!!",2005,Convertible,19000.0,5.9L,450BHP,Automatic,Dealer locationGlastonbury,,"We are pleased to be able to offer on sale this absolutely fantastic 2005 55 Aston Martin DB9 Volante that has covered just 19,000 original miles from new! This DB9 is seriously immaculate throughout, and comes with 2 keys. Last owner has owned, cherished and garaged this DB9 since 2014. Very rare…",48893.220505698555,19.26630200194793
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202401185682204?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=9&postcode=wr117jh&fromsra,Finance available,41995,6.0 V12 Luxury Edition Volante T-TronicII Euro 5 2dr,NEW IN RRP £47995.00,2012,Convertible,35000.0,6.0L,477PS,Automatic,Dealer locationHarlow,5.0,Thank you for looking at our ASTON MARTIN DB9 V12 LUXURY EDITION VOLANTE T-TRONICII EURO 5 2dr It is in excellent condition.  We have sold a few DB9 s over the years we have always found them to be a popular car.  If like others you want to own your dream car this one is in excellent condition it…,48893.220505698555,16.42629004809752
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202311164032894?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=7&postcode=wr117jh&fromsra,Finance available,56000,6.0 V12 T-TronicII Euro 6 2dr,Carbon Black Limited Edition,2015,Coupe,30194.0,6.0L,510BHP,Automatic,Dealer locationHatfield,,"A Beautiful Example And Well Kept DB9 Carbon Black Edition Finished AML Carbon Black Metallic With Obsidian Black With Contrasting Spicy Red Stitching. This car comes with: Alarm Upgrade Volumetric + Tilt Sensors, Aston Martin 700W Premium Audio, Brake Calipers - Red, Sports Exhaust, Carbon Fibre…",68890.6463324453,23.019011307938047
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202308311387991?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=83&postcode=wr117jh&fromsra,Unknown,42850,5.9 2dr,**RARE MANUAL GEARBOX **,2005,Coupe,28000.0,5.9L,450BHP,Manual,Dealer locationKineton,,"Rare Aston Martin DB9 Coupe Manual for sale., McGurk Performance Cars are once again very pleased to offer this rare DB9 V12 Coupe Manual for sale finished in Nero Daytona Black Metallic over Obsidian Leather. The car was first registered in June 2005 and has the following specification :-, 19"" 5…",48893.220505698555,14.103198379693243
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202401185664223?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=84&postcode=wr117jh&fromsra,Finance available,61850,6.0 V12 Volante T-TronicII Euro 5 2dr,£20K CARBON FIBRE OPTIONS !!,2012,Convertible,32000.0,6.0L,517PS,Automatic,Dealer locationKineton,,"McGurk Performance Cars are very pleased to offer this stunning Face Lift DB9 Volante finished in Skyfall Silver over Chancellor Leather. The car was first registered in September 2012 and has the following high specification:-, 2013 Model Year, £20,000 of Carbon Fibre Factory Options including…",68890.6463324453,11.383421717777376
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202307049280459?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=89&postcode=wr117jh&fromsra,Unknown,37850,5.9 Volante Seq 2dr (EU4),** 07 MODEL YEAR **,2006,Convertible,30000.0,5.9L,450BHP,Automatic,Dealer locationKineton,,"Aston Martin DB9 Volante for sale., McGurk Performance Cars are very pleased to offer this DB9 Volante finished in Tungsten Silver over Obsidian Leather. The car was first registered in September 2006 and has the following specification :-, 19” 15 Spoke Alloy Wheels, Satellite Navigation, Grey…",48893.220505698555,29.176276104883897
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202311013540594?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=61&postcode=wr117jh&fromsra,Finance available,54950,6.0 V12 Volante T-TronicII Euro 5 2dr,1 OWNER - FAMSH -2+2 - IMPECAB,2013,Convertible,31392.0,5.9L,510BHP,Automatic,Dealer locationLeeds,1.0,"Aston Martin DB9 V12 Volante, Touchtronic, 6.0 petrol, Automatic,  convertible in Stratus white with full Obsidian black contemporary Caithness leather, heated electric memory sports seats with Galena silver embroidery and DB9 logo embroidery head rests, Piano black facia trim, Black seatbelts…",68890.6463324453,25.369693052675718
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202303215452233?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=25&postcode=wr117jh&fromsra,Unknown,36995,5.9 Volante Seq 2dr (EU4),LINN SOUND SYSTEM BLUETOOTH,2005,Convertible,39000.0,5.9L,450BHP,Automatic,Dealer locationOrmskirk,3.0,"We are delighted to offer for sale this beautiful low milage Aston Martin DB9 Volante.  This fine motor car is finished in Metallic Grey with Black Leather Upholstery with Bamboo Interior Trim.  The specification consists of Satellite Navigation System, Linn Upgraded Sound System, Climate Control…",48893.220505698555,32.16169889363037
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202311113857626?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=43&postcode=wr117jh&fromsra,Unknown,38995,5.9 Volante Seq 2dr (EU4),"Only 31,750 Miles",2007,Convertible,31750.0,5.9L,450BHP,Automatic,Dealer locationPulborough,2.0,"First registered July 2007 (07) Reg, this fabulous two owner DB9 Volante has just 31,750 miles recorded. Supplied by us in November 2019 to the second keeper with 29,550 miles recorded. It is finished in ever popular Meteorite Silver with Obsidian Black leather and Piano Black Veneers. In excellent…",48893.220505698555,25.383306848823068
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202312144821830?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=6&postcode=wr117jh&fromsra,Finance available,41995,6.0 V12 Carbon Edition T-TronicII Euro 5 2dr,FULL ASTON MARTIN HISTORY,2014,Coupe,82000.0,6.0L,517PS,Automatic,Dealer locationSt Albans,2.0,"STUNNING IMMACULATE CONDITION WITH UNMARKED BODYWORK AND WHEELS,FULL ASTON MARTIN MAIN  DEALER SERVICE HISTORY FROM NEW WITH RECENT MAJOR SERVICE CARRIED OUT,ASTON MARTIN+1 OWNER FROM NEW,GENUINE 82,000 MILES,12 MONTHS MOT,  Blue, 2 owners, £41,995",48893.220505698555,16.42629004809752
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202305307929788?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=15&postcode=wr117jh&fromsra,Unknown,37950,5.9 Volante Seq 2dr (EU4),"Low miles, Service history wit",2005,Convertible,30000.0,5.9L,450BHP,Automatic,Dealer locationWantage,5.0,"This 2005 Aston Martin DB9 V12 is an absolute beauty. Finished in Carbon Black Metallic, it has a powerful 5.9L engine and an automatic transmission that gives it a 0-62mph time of just 4.9 seconds. With a mere 30,350 miles on the odometer, it is in excellent condition and ready for a new owner…",48893.220505698555,28.835890660602253
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202311204132456?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=33&postcode=wr117jh&fromsra,Finance available,61495,6.0 V12 T-TronicII Euro 6 2dr,CARBON BLACK EDITION,2015,Coupe,27757.0,5.9L,510BHP,Automatic,Dealer locationWestcliff On Sea,,"2015 ASTON MARTIN DB9 5.9 V12 2d 510 BHP: Experience automotive excellence with the Aston Martin DB9, a symbol of luxury and dynamic performance. Adorned in a captivating Onyx Black, this vehicle boasts 20-inch 10 Spoke Satin Black Diamond Turned Alloy Wheels, perfectly complementing its commanding…",68890.6463324453,12.026418948606077
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202309262369177?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=28&postcode=wr117jh&fromsra,Private seller,43850,5.9 2dr,Manual and Sport Pack,2006,Coupe,36600.0,5.9L,450BHP,Manual,Unknown,3.0,"This very rare and highly desirable manual DB9 is one of only 156 produced for the UK market.  First registered August 2006 (06 Reg), this is a 07MY car which introduced many new and improved features over the earlier model.  This beautiful DB9 Coupe has the desirable six-speed manual Graziano…",49742.66050569856,13.43822236191233
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202307019173250?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=52&postcode=wr117jh&fromsra,Finance available,54995,6.0 V12 T-TronicII Euro 5 2dr,1 of 4 'Q' Limited Edition,2011,Coupe,14300.0,6.0L,477PS,Automatic,Unknown,2.0,"Rare 1 of 4 'Q' Limited Edition DB9  -  The Stratstone Aston Martin Mayfair dealership on Park Lane, London was the first to take advantage of Aston Martin Works Tailored service by commissioning four 2011MY DB9 coupes, all right-hand drive and with Touchtronic 2 2 transmission, finished in…",68890.6463324453,25.267108523402687
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202311093807429?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=57&postcode=wr117jh&fromsra,Private seller,38950,6.0 V12 Carbon Edition T-TronicII Euro 5 2dr,Unknown,2014,Coupe,43000.0,6.0L,517PS,Automatic,Unknown,3.0,"Stunning Aston Martin DB9 in excellent condition, with full Aston Martin service record. Lovely colour combination, Silver with black leather, with white contrast stitching, Aston Martin wings embroidered on headrests and piano black fascia. 2 + 2 seating, heated seats, reverse camera, sat nav…",49742.66050569856,27.709012851600917
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202307099452329?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=57&postcode=wr117jh&fromsra,Finance available,52000,6.0 V12 T-TronicII Euro 5 2dr,Stunning low-mileage example,2011,Coupe,12445.0,6.0L,477PS,Automatic,Unknown,2.0,"Flawless mechanically and bodywork, no known issues or defects. Regular AM main dealer servicing (last one in May 2022). We have owned since Jan 2013. Always kept garaged (see photo). Next MOT due 29/05/2023, Full service history, Silver, 2 owners, £52,000",68890.6463324453,32.48201217777943
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202306228827122?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=58&postcode=wr117jh&fromsra,Private seller,38000,5.9 Volante Seq 2dr (EU4),"22k miles, service history",2007,Convertible,22918.0,5.9L,450BHP,Automatic,Unknown,,"Very low mileage, Onyx black, great condition inside and out. Wheels and tyres in excellent condition. Regularly serviced with history. MOT to Apr 2024. Drives superb in both auto and touchtronic mode. Cruise control. Parking sensors. Electric memory seats. Electric/autofold mirrors. Climate…",49742.66050569856,30.90173817289094
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202310012546339?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=62&postcode=wr117jh&fromsra,Private seller,37500,5.9 Volante Seq 2dr (EU4),Unknown,2005,Convertible,20078.0,5.9L,450BHP,Automatic,Unknown,3.0,"Low Mileage, Convertible, Colour Grigio Titanio, Trim Obsidian Black Leather, Immaculate Condition, Service history available, serviced by one of the longest standing Aston Martin service dealers world wide.  Stored undercover all year round.  Dynamic Stability control, Deployable Roll bars…",49742.66050569856,32.64709468186282
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202401115462824?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=66&postcode=wr117jh&fromsra,Private seller,44500,5.9 Volante Seq 2dr (EU4),Unknown,2008,Convertible,47500.0,5.9L,450BHP,Automatic,Unknown,2.0,"It is a lovely car in great condition,  a head turner with a Tungsten silver body and Sandstorm and walnut interior, lots of extras, Car Play, and LED rear light. Full-service History. The car will be sale for 2/3 weeks after that will leave until the summer. Next MOT due 28/06/2024, Silver, 2…",49742.66050569856,11.781259563367543
Aston Martin DBS,https://www.autotrader.co.uk/car-details/202311063688982?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=27&postcode=wr117jh&fromsra,Unknown,54995,6.0 V12 T-TronicII Euro 4 2dr,6 Months Warranty/Recovery,2009,Coupe,41751.0,6.0L,517PS,Automatic,Dealer locationDereham,,"2 Keys New pads and disc in 2021 New diff in 2022 , 6 months warranty, Next MOT due 12/12/2024, Last serviced on 12/09/2022, Full dealership history, Clean bodywork, Black Full leather interior - Excellent Condition, Tyre condition Good, Black, £54,995",68890.6463324453,25.267108523402687
Aston Martin Rapide,https://www.autotrader.co.uk/car-details/202312084648604?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=17&postcode=wr117jh&fromsra,Unknown,39995,6.0 V12 Luxury Edition T-TronicII Euro 5 4dr,REAR ENTERTAINMENT-B & O SOUND,2012,Saloon,53575.0,6.0L,477PS,Automatic,Dealer locationWare,3.0,"Aston Martin Rapide 6.0 V12 Luxury Edition finished in Metallic Blue with Black Leather Upholstery. This Stunning ULEZ Compliant Super Car is Complimented by a Full Main Dealer Service History and is in Excellent Condition Throughout and has an MOT until December 2024. Being the Luxury Edition, the…",48764.47183903188,21.92642040012972
Aston Martin Rapide,https://www.autotrader.co.uk/car-details/202306068211805?sort=relevance&twcs=true&advertising-location=at_cars&make=Aston%20Martin&page=15&postcode=wr117jh&fromsra,Finance available,42990,6.0 V12 Luxury Edition T-TronicII Euro 5 4dr,"20""s | Rear Entertainment",2013,Saloon,53705.0,6.0L,477PS,Automatic,Dealer locationWorksop,,,48764.47183903188,13.432128027522403
Aston Martin Rapide S,https://www.autotrader.co.uk/car-details/202308050459289?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=51&postcode=wr117jh&fromsra,Finance available,52995,6.0 V12 S T-TronicII Euro 5 4dr,FASH - Forged AMR Wheels - PPF,2013,Saloon,31088.0,6.0L,558PS,Automatic,Unknown,4.0,"Here I have for sale my Aston Martin Rapide S, the car has a Full Aston Martin Service History, serviced by Aston Martin every year regardless of mileage, the latest service being completed September 23. The car sits on Genuine Aston Martin Racing (AMR) 21"" Forged Alloys wrapped in Michelin P4S…",68943.61633244531,30.09456803933448
Aston Martin Vanquish,https://www.autotrader.co.uk/car-details/202311174061977?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=9&postcode=wr117jh&fromsra,Finance available,56500,6.0 V12 T-TronicII Euro 5 2dr,12K OFF THE RETAIL PRICE!!!!!,2013,Coupe,33000.0,6.0L,573PS,Automatic,Unknown,4.0,"aston martin vanquish 2+2 6.0 V12, really good condition, lots of extras including bluetooth, heated and cooled seats, drives like a dream, comprehensive aston martin service history, just had its yearly MOT, not due again until November 2024 and no advisories, priced keen (well below trade value)…",68890.6463324453,21.930347491053638
Aston Martin Vanquish,https://www.autotrader.co.uk/car-details/202310153010049?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=42&postcode=wr117jh&fromsra,Private seller,45200,5.9 2dr,007 spec,2003,Coupe,95000.0,5.9L,460BHP,Manual,Unknown,,"Aston Martin Vanquish, hand-built to 007 SPEC and final inspection by Stuart Bull. Finished in gun metal grey with two tone leather interior. kept entirely in original condition with full service history. Dry stored and well maintained throughout my almost 20 year ownership. Grey, £45,200",49742.66050569856,10.05013386216495
Aston Martin Vanquish,https://www.autotrader.co.uk/car-details/202312064612555?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=65&postcode=wr117jh&fromsra,Finance available,59995,6.0 V12 T-TronicII Euro 5 2dr,HIGH SPEC | FAMSH | CARBON,2013,Coupe,56500.0,6.0L,573PS,Automatic,Unknown,5.0,Aston Martin Vanquish V12 6.0 in Oynx Black with upgraded 20 inch 20-Spoke Gloss Diamond Alloy Wheels and contrasting Red Callipers. Full Black Quilted Leather Interior with Red Cross Stitching including Aston Martin Logo on Headrests. Heat and Ventilation Memory Seats. Piano Black Centre Console…,68890.6463324453,14.82731283014469
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202306048118996?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=16&postcode=wr117jh&fromsra,Unknown,38995,4.3 V8 Euro 4 2dr,A gorgeous collector's example,2009,Coupe,41690.0,4.3L,385PS,Manual,Dealer locationAndover,,Excellent SERVICE HISTORY | supplied with FRESH SERVICE | TITANIUM SILVER | 19-INCH ANTHRACITE SEVEN-SPOKE ALLOY WHEELS | BRIDGESTONE POTENZA tyres | BLACK & FALCON GREY LEATHER with COARSE SILVER STITCHING | TAILORS GREY HEADLINING | OBSIDIAN BLACK carpets | glossy PIANO BLACK TRIM | HEATED…,48893.220505698555,25.383306848823068
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202310102863394?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=82&postcode=wr117jh&fromsra,Unknown,117999,4.0 V8 Roadster Auto Euro 6 2dr,"Premium Audio, Ventilated Seat",2022,Convertible,7222.0,4.0L,503BHP,Automatic,Dealer locationBelfast,1.0,"Aston Martin Belfast are delighted to offer for sale, this head turning Aston Martin Vantage Roadster. Registered in September 2022 this 1 owner vehicle is finished in Ion Blue with Onyx Black Leather and Alcantara Interior, with contrasting grey stitch. Key features and specification include the…",143857.9152676033,21.914520688822194
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202306268972677?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=70&postcode=wr117jh&fromsra,Finance available,125000,4.0 V8 Roadster Auto Euro 6 2dr,"Stunning Looking, High Spec",2023,Convertible,1095.0,4.0L,503BHP,Automatic,Dealer locationBrentwood,,"Our current demonstrator so VAT qualifying and in a Stunning colour combination of Aluminite Silver with Onyx black leather and a contrasting silver stitch. Stunning in Aluminite with the gloss black upper and lower packs, new style 21 inch Satin Black alloys and smoked rear lights.  Other options…",143857.9152676033,15.086332214082637
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202312315147253?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=16&postcode=wr117jh&fromsra,Unknown,38995,4.7 V8 Sportshift Euro 4 2dr,STUNNING CONDITION,2010,Coupe,36200.0,4.7L,420BHP,Automatic,Dealer locationBridgwater,3.0,"A beautiful 2010 Tungsten Silver Aston Martin Vantage 4.7 V8 Sport Shift., Only 36900 Miles, Only two previous owners., Lovely Service History. Seven stamps with the same Aston Martin Dealership and recently serviced by a very good Aston Martin Specialist., MOT March 2024 with no advisory’s., Very…",48893.220505698555,25.383306848823068
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202311083761185?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=41&postcode=wr117jh&fromsra,Approved used,106990,4.0 V8 Roadster Auto Euro 6 2dr,Spirit Silver over Copper Tan,2021,Convertible,6710.0,4.0L,503BHP,Automatic,Dealer locationBristol,2.0,"Aston Martin Bristol would like to present to you this striking Vantage Roadster finished in Spirit Silver alongside an AML Special Copper Tan interior. Key features worth noting on the Vantage Roadster include Aston Martin Premium Audio, Blind Spot Assistance, Grey Painted Brake Calipers, Comfort…",143857.9152676033,34.459216064682025
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202308040414397?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=68&postcode=wr117jh&fromsra,Approved used,106990,4.0 V8 Roadster Auto Euro 6 2dr,Xenon Grey|Q Wolf Grey Leather,2021,Convertible,1450.0,4.0L,510PS,Automatic,Dealer locationBristol,2.0,"Introducing a beautifully maintained Aston Martin Vantage 4.0 V8 Roadster 2dr Petrol Auto Euro 6. With a 500HP 4.0 V8 engine and an open top driving experience, this example delivers a powerful and exhilarating driving experience. , What sets this Vantage apart is its exceptional interior, a…",143857.9152676033,34.459216064682025
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202312074640905?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=19&postcode=wr117jh&fromsra,Unknown,39948,4.7 V8 S Sportshift Euro 5 2dr,"FRONT PPF, CARBON FIBRE,",2011,Coupe,40000.0,4.7L,436PS,Automatic,Dealer locationChelmsford,,"Front End PPF, Carbon Fibre S Front Splitter, Front Wing Carbon Vents, Sat Nav, EH/M/Seats with Contrasting White Stitching inc Vantage S Logo, Vantage S Carpets, Alcantara Headlining, Extended Leather Door Cards, Piano Black Wood, Alcantara Multi Function Steering Wheel, Piano Black Wood and 19""…",48893.220505698555,22.39216107364212
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202308160850040?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=16&postcode=wr117jh&fromsra,Approved used,119950,4.0 V8 Roadster Auto Euro 6 2dr,"21"" Alloy Wheels|Sports Plus",2023,Convertible,2044.0,4.0L,503BHP,Automatic,Dealer locationCheltenham,2.0,Aston Martin Cheltenham are delighted to offer for sale this Aston Martin V8 Vantage Roadster. This particular Aston Martin is finished in Xenon Grey with an Onyx Black Leather Interior and Silver Stitching. This vehicle comes equipped with a whole host of standard and optional refinements…,143857.9152676033,19.931567542812253
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202309202177171?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=39&postcode=wr117jh&fromsra,Approved used,129950,4.0 V8 Roadster Auto Euro 6 2dr,One Owner|VAT Qualifying,2023,Convertible,1145.0,4.0L,503BHP,Automatic,Dealer locationCheltenham,1.0,Aston Martin Cheltenham are delighted to offer for sale this VAT Qualifying Aston Martin Vantage Roadster. This particular Aston Martin is finished in Onyx Black with an Onyx Black Leather Interior and Silver Stitching. This vehicle comes equipped with a whole host of standard and optional…,143857.9152676033,10.702512710737436
